week_ending,iso_week,business_unit,contacts_offered,contacts_handled,service_level,asa,abandon_rate,aht,fcr,csat,repeat_rate,occupancy,adherence,forecast_accuracy,cost_per_contact
2026-06-07,23,Collections,8412,7981,84.76,28.1,5.12,335.6,78.36,86.59,21.72,83.06,90.07,95.08,19.104
2026-06-14,24,Collections,9142,8727,85.4,21.8,4.54,357.5,77.18,85.25,22.68,81.59,92.98,95.52,19.987
2026-06-21,25,Collections,9181,8684,79.18,17.4,5.42,338.7,80.32,87.7,18.02,83.65,90.22,92.34,19.238
2026-06-28,26,Collections,8819,8299,82.58,27.8,5.89,356.1,78.83,84.13,21.89,87.63,91.01,93.96,19.803
2026-07-05,27,Collections,9242,8899,84.95,39.1,3.71,364.7,78.63,85.49,22.78,82.2,92.31,92.04,20.603
2026-07-12,28,Collections,9382,9123,82.59,31.5,2.76,362.9,79.0,83.57,21.08,84.55,92.31,89.47,20.614
2026-07-19,29,Collections,9625,9245,80.01,24.2,3.95,366.2,79.6,84.71,20.84,77.89,89.76,89.02,22.231
2026-07-26,30,Collections,8715,8294,78.35,32.6,4.83,346.3,80.6,86.41,19.89,88.9,90.1,91.82,18.389
2026-08-02,31,Collections,8636,8278,85.74,23.8,4.14,365.5,77.13,85.54,23.56,85.8,89.56,93.12,19.882
2026-08-09,32,Collections,8423,8106,80.87,30.4,3.76,386.4,80.16,86.4,22.07,89.76,88.32,92.7,20.271
2026-08-16,33,Collections,8405,7994,84.08,17.7,4.88,380.4,77.86,85.76,24.5,82.32,91.73,94.05,21.508
2026-08-23,34,Collections,8008,7573,82.21,28.7,5.43,356.3,79.72,86.0,19.6,85.53,91.43,91.49,19.982
2026-08-30,35,Collections,8041,7606,84.39,20.0,5.41,374.9,77.03,84.93,24.39,90.22,90.51,91.38,19.977
2026-09-06,36,Collections,8434,8138,84.93,24.2,3.51,400.5,78.57,85.19,20.07,85.85,89.35,92.06,21.216
2026-09-13,37,Collections,8548,8079,77.91,26.2,5.49,394.1,80.72,82.63,18.2,89.84,90.31,94.39,20.23
2026-09-20,38,Collections,9106,8674,81.24,26.2,4.74,391.2,78.41,85.6,20.13,84.33,93.86,91.76,20.839
2026-09-27,39,Collections,8701,8307,79.82,14.8,4.52,391.3,79.18,84.9,19.17,87.29,93.02,94.88,20.621
2026-06-07,23,Consumer Care,19518,18275,83.7,18.8,6.37,359.7,79.85,83.76,18.88,88.0,91.73,91.67,19.609
2026-06-14,24,Consumer Care,20949,20101,83.67,27.2,4.05,352.5,79.49,85.43,18.33,80.25,92.21,92.91,21.016
